Model,Crime Tier,CV ROC-AUC Scores,CV Mean ROC-AUC,CV Std ROC-AUC
Logistic Regression,y_tier1,[0.58072461 0.59424617 0.61338488],0.5961,0.0134
Logistic Regression,y_tier2,[0.61331307 0.60252227 0.60723264],0.6077,0.0044
Logistic Regression,y_tier3,[0.64207427 0.6152843  0.62429584],0.6272,0.0111
Logistic Regression,y_tier4,[0.74819023 0.7023629  0.68907435],0.7132,0.0253
Random Forest,y_tier1,[0.56455019 0.57613097 0.60198961],0.5809,0.0157
Random Forest,y_tier2,[0.61866711 0.60598751 0.60991068],0.6115,0.0053
Random Forest,y_tier3,[0.64513275 0.6184622  0.62618757],0.6299,0.0112
Random Forest,y_tier4,[0.75389598 0.70854537 0.69890257],0.7204,0.024
XGBoost,y_tier1,[0.54022769 0.56248425 0.59629159],0.5663,0.023
XGBoost,y_tier2,[0.61220595 0.60531086 0.60880407],0.6088,0.0028
XGBoost,y_tier3,[0.64384743 0.61786578 0.62562126],0.6291,0.0109
XGBoost,y_tier4,[0.74856637 0.70557761 0.69500946],0.7164,0.0232
Neural Network,y_tier1,[0.54384783 0.55047074 0.58388764],0.5594,0.0175
Neural Network,y_tier2,[0.61696501 0.6059752  0.60989747],0.6109,0.0045
Neural Network,y_tier3,[0.64502468 0.61854656 0.6261673 ],0.6299,0.0111
Neural Network,y_tier4,[0.75264637 0.7075779  0.69757192],0.7193,0.024
